TOT_POP,0-9,19-Oct,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone pop,POP_ESTIMATE_2018,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,POVALL_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Total nurse practitioners (2019),Total physician assistants (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),Total Population,Population Aged 60+,county_pop2018_18 and older,anycondition_number,Obesity_number,COPD_number,diabetes_number,CKD_number,Heart disease_number
55286.0,5155.0,5842.0,5517.0,6379.0,6159.0,8473.0,9118.0,5705.0,2938.0,53051.0,55286.0,12540.0,11165.0,15147.0,5227.0,29178.0,28496.0,682.0,33.89726632,21.80371037,32.92625088,106.8116986,55485.0,16500.0,45302.0,16558.0,13092.0,3325.0,4671.0,1379.0,3185
18634.0,2109.0,2714.0,2145.0,2199.0,2666.0,2690.0,2086.0,1406.0,619.0,16463.0,18634.0,5019.0,3701.0,1957.0,1947.0,8756.0,8437.0,319.0,8.529200364,5.893385174,6.042181193,22.65242248,17919.0,3658.0,14275.0,6590.0,4782.0,1234.0,1722.0,434.0,1050
4506.0,420.0,477.0,418.0,456.0,419.0,648.0,806.0,563.0,299.0,4220.0,4506.0,1146.0,1493.0,366.0,1053.0,2266.0,2127.0,139.0,2.197704717,1.144010675,2.440699466,6.223246039,4605.0,1391.0,3700.0,1882.0,1280.0,294.0,735.0,190.0,399
435594.0,63650.0,62929.0,61887.0,60805.0,53314.0,50265.0,43302.0,24484.0,14958.0,360356.0,435594.0,56133.0,72422.0,67157.0,55614.0,224057.0,210010.0,14047.0,169.7357807,87.18036694,167.3572334,647.1740994,433168.0,76257.0,321760.0,119010.0,90415.0,20253.0,36143.0,10298.0,20306
21485.0,3983.0,3458.0,2976.0,2877.0,2462.0,2292.0,1897.0,962.0,578.0,18342.0,21485.0,2916.0,3637.0,1792.0,2588.0,11039.0,10742.0,297.0,7.410725687,4.373825272,7.19514094,25.37462417,22016.0,3264.0,14612.0,7114.0,5596.0,1058.0,1997.0,472.0,1081
35567.0,3797.0,4481.0,4594.0,4534.0,4720.0,4898.0,4297.0,2818.0,1428.0,32502.0,35567.0,10615.0,7566.0,3173.0,5172.0,15892.0,15254.0,638.0,18.35252391,4.491133132,17.66158035,46.27195863,36035.0,7957.0,28077.0,14147.0,10417.0,3105.0,3908.0,939.0,2499
104712.0,12840.0,13049.0,13050.0,11956.0,11797.0,13514.0,14079.0,8744.0,5683.0,81657.0,104712.0,25214.0,24414.0,16485.0,17557.0,49961.0,47166.0,2795.0,40.78819504,20.4803913,49.75453007,175.7434541,107587.0,27263.0,81562.0,38323.0,27650.0,7365.0,10017.0,2780.0,6677
274255.0,28639.0,37554.0,45391.0,31690.0,32292.0,35086.0,35297.0,19001.0,9305.0,238965.0,274255.0,28222.0,54710.0,71610.0,32027.0,142618.0,135634.0,6984.0,106.8676027,54.88976325,105.3700419,407.4682678,273263.0,57232.0,221403.0,62929.0,46273.0,13091.0,20316.0,6334.0,12721
1380645.0,168705.0,176280.0,228307.0,212970.0,186896.0,171700.0,127447.0,70941.0,37399.0,940371.0,1380645.0,216036.0,265083.0,297568.0,211307.0,750160.0,726303.0,23857.0,801.1884039,394.954769,536.7184453,1886.48755,1290216.0,206342.0,1074728.0,435453.0,346062.0,72406.0,117345.0,31062.0,66065
85129.0,9116.0,11619.0,9870.0,10690.0,10828.0,12645.0,10812.0,6334.0,3215.0,81763.0,85129.0,19603.0,19119.0,14417.0,6701.0,46319.0,44991.0,1328.0,44.52984621,26.94341238,47.97098856,134.6731324,84586.0,18308.0,67171.0,27512.0,22099.0,4336.0,6169.0,1886.0,4466
56310.0,5722.0,6700.0,7154.0,7982.0,6975.0,7617.0,8267.0,4118.0,1775.0,49772.0,56310.0,7980.0,12102.0,17223.0,5005.0,32091.0,31120.0,971.0,28.62182744,22.21528368,26.92132509,72.06373065,54469.0,12490.0,45626.0,14847.0,10038.0,2553.0,3561.0,1225.0,2593
179146.0,20206.0,23772.0,18863.0,21244.0,23603.0,26913.0,23212.0,14216.0,7117.0,171408.0,179146.0,38916.0,36879.0,41020.0,11474.0,96495.0,92384.0,4111.0,92.55041378,34.26771406,82.84940171,349.144482,176362.0,40244.0,139159.0,54548.0,41887.0,10680.0,14667.0,3772.0,9713
9911.0,903.0,1125.0,1068.0,1092.0,1143.0,1457.0,1500.0,1107.0,516.0,6495.0,9911.0,2422.0,2451.0,1051.0,1710.0,3593.0,3397.0,196.0,6.92253083,0.355086672,3.640468035,11.22007514,10221.0,2872.0,8071.0,4017.0,2986.0,849.0,1302.0,322.0,809
21940.0,2599.0,2661.0,2582.0,2431.0,2321.0,3181.0,3120.0,1991.0,1054.0,13728.0,21940.0,6221.0,3839.0,2350.0,4428.0,9999.0,9463.0,536.0,11.1301298,3.611171555,8.437052707,35.27836827,22271.0,5833.0,17147.0,8901.0,6413.0,1871.0,2779.0,683.0,1671
3641.0,454.0,496.0,375.0,354.0,381.0,483.0,539.0,309.0,250.0,3520.0,3641.0,1153.0,612.0,442.0,439.0,1910.0,1850.0,60.0,2.030750751,0.395214881,1.62602694,6.457157422,3669.0,1037.0,2774.0,1342.0,932.0,285.0,355.0,95.0,260
919719.0,100740.0,109669.0,128597.0,118422.0,103167.0,129113.0,117349.0,68390.0,44272.0,730860.0,919719.0,178600.0,193051.0,216636.0,122204.0,443446.0,423872.0,19574.0,593.5140858,418.5330874,304.9695723,2301.767259,923995.0,216391.0,733627.0,302227.0,225957.0,56970.0,83461.0,22451.0,53850
